State,ACH,Yrows,Xcols
New Mexico,1.329,1,1
Connecticut,1.186,2,1
Rhode Island,1.185,3,1
California,1.161,4,1
Wyoming,1.134,5,1
Delaware,1.132,1,2
Vermont,1.131,2,2
Maryland,1.125,3,2
Washington,1.121,4,2
Nevada,1.12,5,2
Colorado,1.099,1,3
West Virginia,1.08,2,3
North Dakota,1.071,3,3
New Hampshire,1.07,4,3
Massachusetts,1.064,5,3
New Jersey,1.055,1,4
Virginia,1.055,2,4
Kentucky,1.054,3,4
Utah,1.054,4,4
Pennsylvania,1.031,5,4
Wisconsin,1.031,1,5
Indiana,1.009,2,5
Oklahoma,1.007,3,5
Illinois,1.006,4,5
Oregon,1.006,5,5
New York,1,1,6
Arizona,0.984,2,6
Missouri,0.977,3,6
Georgia,0.968,4,6
Tennessee,0.964,5,6
South Carolina,0.949,1,7
Ohio,0.941,2,7
Florida,0.94,3,7
Minnesota,0.94,4,7
South Dakota,0.932,5,7
Texas,0.927,1,8
North Carolina,0.918,2,8
Michigan,0.915,3,8
Montana,0.912,4,8
Kansas,0.901,5,8
Louisiana,0.893,1,9
Alaska,0.881,2,9
Iowa,0.859,3,9
Idaho,0.852,4,9
Nebraska,0.837,5,9
Hawaii,0.753,1,10
Arkansas,0.713,2,10
Maine,0.691,3,10
Mississippi,0.689,4,10
Alabama,0.666,5,10
