State,LTACH,Yrows,Xcols
Pennsylvania,1.316,1,1
Nevada,1.304,2,1
Oklahoma,1.277,3,1
South Carolina,1.24,4,1
Missouri,1.204,5,1
Arizona,1.049,1,2
California,1.036,2,2
Florida,1.025,3,2
Texas,1.009,4,2
North Carolina,0.982,5,2
Indiana,0.956,1,3
Kentucky,0.945,2,3
Colorado,0.931,3,3
Georgia,0.914,4,3
Tennessee,0.903,5,3
Wisconsin,0.901,1,4
Michigan,0.886,2,4
Arkansas,0.868,3,4
Massachusetts,0.839,4,4
New Jersey,0.807,5,4
Ohio,0.801,1,5
Mississippi,0.767,2,5
Illinois,0.755,3,5
Louisiana,0.753,4,5
Alabama,0.519,5,5
New Mexico,0,1,6
Connecticut,0,2,6
Rhode Island,0,3,6
Wyoming,0,4,6
Delaware,0,5,6
Vermont,0,1,7
Maryland,0,2,7
Washington,0,3,7
West Virginia,0,4,7
North Dakota,0,5,7
New Hampshire,0,1,8
Virginia,0,2,8
Utah,0,3,8
Oregon,0,4,8
New York,0,5,8
Minnesota,0,1,9
South Dakota,0,2,9
Montana,0,3,9
Kansas,0,4,9
Alaska,0,5,9
Iowa,0,1,10
Idaho,0,2,10
Nebraska,0,3,10
Hawaii,0,4,10
Maine,0,5,10
